transaction_date,name,type,notional,trade_price
2021-08-02,,SELL,1000000.0,98.01
2021-08-02,Asset434,BUY,500000.0,98.05
2021-08-02,Asset14,SELL,3500000.0,98.0
2021-08-02,Asset313,BUY,3500000.0,98.02
2021-08-02,Asset11,SELL,3000000.0,97.99
2021-08-02,Asset64,SELL,3000000.0,98.02
2021-08-02,Asset341,SELL,1500000.0,98.0
2021-08-02,Asset461,BUY,1000000.0,97.99
2021-08-02,Asset374,BUY,500000.0,98.04
2021-08-02,Asset45,BUY,2000000.0,98.03
2021-08-02,Asset359,SELL,1500000.0,98.0
2021-08-02,Asset436,SELL,1000000.0,98.02
2021-08-02,Asset470,SELL,1000000.0,98.04
2021-08-02,Asset74,BUY,500000.0,98.04
2021-08-02,Asset379,SELL,1500000.0,98.0
2021-08-02,Asset310,SELL,3500000.0,98.01
2021-08-02,Asset221,BUY,,98.02
2021-08-02,Asset471,BUY,500000.0,98.04
2021-08-02,Asset53,SELL,1000000.0,98.02
2021-08-02,Asset472,SELL,500000.0,98.06
2021-08-02,Asset266,SELL,2000000.0,98.0
2021-08-02,Asset161,SELL,1000000.0,98.04
2021-08-02,Asset69,SELL,1500000.0,98.02
2021-08-02,Asset91,SELL,2000000.0,98.03
2021-08-02,Asset447,BUY,1500000.0,98.02
2021-08-02,Asset475,SELL,1500000.0,98.04
2021-08-02,Asset102,SELL,500000.0,98.04
2021-08-02,Asset263,BUY,500000.0,98.05
2021-08-02,Asset437,BUY,1000000.0,98.04
2021-08-02,Asset269,SELL,,98.0
,Asset405,SELL,3000000.0,98.03
2021-08-02,Asset351,BUY,2000000.0,97.99
2021-08-02,Asset343,SELL,1000000.0,97.99
2021-08-02,Asset111,SELL,1000000.0,98.02
2021-08-02,Asset391,BUY,1500000.0,98.02
2021-08-02,Asset141,BUY,1000000.0,98.04
,,SELL,3500000.0,98.02
2021-08-02,Asset410,SELL,2000000.0,98.01
2021-08-02,Asset49,SELL,1500000.0,98.04
2021-08-02,Asset416,BUY,2000000.0,98.03
2021-08-02,,BUY,1500000.0,97.99
2021-08-02,Asset465,SELL,1500000.0,98.02
2021-08-02,Asset62,SELL,1500000.0,98.02
2021-08-02,Asset329,BUY,3000000.0,98.02
2021-08-02,Asset179,SELL,1500000.0,98.03
2021-08-02,Asset266,BUY,3000000.0,98.03
2021-08-02,Asset181,SELL,1000000.0,98.01
2021-08-02,Asset373,BUY,2000000.0,98.02
2021-08-02,Asset39,BUY,1000000.0,98.04
2021-08-02,Asset325,SELL,3000000.0,97.98
2021-08-02,Asset447,SELL,3000000.0,98.01
2021-08-02,Asset61,BUY,3000000.0,98.03
2021-08-02,,BUY,2000000.0,98.03
2021-08-02,Asset178,SELL,3000000.0,98.02
2021-08-02,Asset444,BUY,1500000.0,98.03
2021-08-02,Asset90,SELL,3000000.0,97.99
2021-08-02,Asset146,SELL,1500000.0,98.04
2021-08-02,Asset441,SELL,,97.98
2021-08-02,Asset286,SELL,1500000.0,97.99
2021-08-02,Asset380,BUY,1000000.0,98.02
2021-08-02,Asset339,SELL,3000000.0,98.01
2021-08-02,Asset202,BUY,1500000.0,98.02
2021-08-02,Asset174,SELL,2000000.0,98.02
2021-08-02,Asset307,BUY,1500000.0,98.02
2021-08-02,Asset75,BUY,1500000.0,98.03
2021-08-02,Asset433,,1000000.0,98.04
2021-08-02,Asset287,SELL,3500000.0,98.0
2021-08-02,Asset218,SELL,1500000.0,98.01
2021-08-02,Asset428,SELL,2000000.0,98.03
2021-08-02,,,1000000.0,98.02
2021-08-02,Asset287,BUY,1000000.0,98.02
2021-08-02,Asset235,BUY,1500000.0,98.02
,Asset347,SELL,3500000.0,97.98
2021-08-02,Asset263,BUY,3000000.0,98.04
2021-08-02,Asset276,SELL,3000000.0,98.03
2021-08-02,Asset421,BUY,1500000.0,98.05
2021-08-02,Asset249,SELL,2000000.0,98.02
2021-08-02,,BUY,3500000.0,97.99
2021-08-02,Asset499,BUY,1000000.0,98.05
2021-08-02,Asset161,BUY,1500000.0,98.04
2021-08-02,Asset266,SELL,3000000.0,98.01
2021-08-02,Asset485,SELL,1500000.0,97.99
2021-08-02,Asset290,BUY,1500000.0,98.02
2021-08-02,Asset489,SELL,1500000.0,98.03
2021-08-02,Asset474,SELL,1000000.0,98.0
2021-08-02,Asset146,BUY,2000000.0,98.0
2021-08-02,Asset98,SELL,1000000.0,98.03
2021-08-02,Asset468,SELL,3000000.0,98.03
2021-08-02,Asset379,SELL,1500000.0,98.01
2021-08-02,Asset461,BUY,2000000.0,98.01
2021-08-02,Asset36,BUY,1500000.0,98.05
2021-08-02,Asset437,SELL,2000000.0,98.02
2021-08-02,Asset152,BUY,2000000.0,98.02
2021-08-02,Asset86,SELL,2000000.0,98.01
2021-08-02,Asset7,SELL,1000000.0,98.0
2021-08-02,Asset280,BUY,1500000.0,98.03
2021-08-02,Asset127,BUY,3500000.0,98.0
2021-08-02,Asset331,BUY,2000000.0,98.03
2021-08-03,Asset367,BUY,250000.0,98.03
2021-08-03,Asset116,BUY,1000000.0,98.0
2021-08-03,Asset47,SELL,2000000.0,97.99
2021-08-03,Asset202,SELL,250000.0,98.01
2021-08-03,Asset138,SELL,1500000.0,97.98
2021-08-03,Asset418,BUY,2000000.0,98.0
2021-08-03,Asset229,SELL,2000000.0,97.98
2021-08-03,Asset40,BUY,500000.0,98.04
2021-08-03,Asset21,,3000000.0,98.0
,,BUY,500000.0,98.0
2021-08-03,Asset399,BUY,1500000.0,98.0
2021-08-03,Asset69,BUY,2000000.0,98.0
2021-08-03,Asset247,SELL,2000000.0,98.04
2021-08-03,Asset112,SELL,2000000.0,97.96
2021-08-03,Asset473,SELL,1500000.0,97.97
2021-08-03,Asset494,SELL,1000000.0,98.01
2021-08-03,Asset397,,3000000.0,98.02
2021-08-03,Asset395,BUY,1000000.0,97.99
2021-08-03,Asset199,BUY,250000.0,98.03
2021-08-03,Asset28,BUY,3500000.0,97.99
2021-08-03,Asset36,SELL,1500000.0,98.03
2021-08-03,Asset197,BUY,3500000.0,97.99
2021-08-03,Asset440,BUY,1500000.0,98.0
2021-08-03,Asset371,SELL,1500000.0,98.0
2021-08-03,,BUY,3500000.0,98.01
2021-08-03,Asset94,SELL,2000000.0,98.0
2021-08-03,Asset113,SELL,1500000.0,98.01
2021-08-03,Asset83,BUY,2000000.0,98.02
2021-08-03,Asset259,,1000000.0,98.02
2021-08-03,Asset4,SELL,1500000.0,98.01
2021-08-03,Asset14,BUY,1000000.0,98.0
2021-08-03,Asset182,SELL,1500000.0,97.99
2021-08-03,Asset193,SELL,2000000.0,97.97
2021-08-03,Asset456,SELL,1500000.0,98.0
2021-08-03,Asset405,SELL,2000000.0,97.99
2021-08-03,Asset95,BUY,2000000.0,98.03
2021-08-03,Asset219,BUY,1500000.0,98.02
2021-08-03,Asset335,SELL,1500000.0,98.01
2021-08-03,Asset74,SELL,1500000.0,97.98
2021-08-03,Asset98,SELL,3000000.0,98.01
2021-08-03,Asset149,BUY,2000000.0,98.02
2021-08-03,Asset104,BUY,1000000.0,97.99
2021-08-03,Asset262,BUY,1000000.0,98.01
2021-08-03,Asset498,SELL,2000000.0,98.02
2021-08-03,Asset48,SELL,1500000.0,97.99
2021-08-03,Asset161,BUY,1000000.0,98.02
2021-08-03,Asset100,BUY,1000000.0,98.03
2021-08-03,Asset223,BUY,2000000.0,98.02
2021-08-03,Asset441,BUY,1500000.0,97.97
2021-08-03,Asset300,SELL,1500000.0,97.97
2021-08-03,Asset330,SELL,1500000.0,97.99
2021-08-03,Asset254,SELL,1000000.0,97.98
2021-08-03,Asset266,SELL,1500000.0,97.99
2021-08-03,Asset352,SELL,3500000.0,98.04
2021-08-03,Asset476,BUY,2000000.0,98.01
2021-08-03,Asset318,SELL,2000000.0,97.99
2021-08-03,Asset456,BUY,1000000.0,98.02
2021-08-03,Asset458,SELL,3500000.0,97.99
2021-08-03,Asset355,SELL,3500000.0,97.95
2021-08-03,Asset118,BUY,500000.0,97.99
2021-08-03,Asset481,SELL,500000.0,97.98
2021-08-03,Asset146,BUY,2000000.0,98.01
2021-08-03,Asset452,SELL,1000000.0,97.99
2021-08-03,Asset60,BUY,250000.0,97.98
2021-08-03,Asset274,SELL,1500000.0,97.99
2021-08-03,Asset178,SELL,3500000.0,98.0
2021-08-03,Asset239,SELL,,97.97
2021-08-03,Asset87,BUY,3000000.0,98.01
2021-08-03,Asset74,BUY,3000000.0,97.98
2021-08-03,Asset381,BUY,1000000.0,98.01
2021-08-03,Asset4,SELL,3000000.0,98.0
2021-08-03,Asset219,SELL,3000000.0,98.0
2021-08-03,Asset496,BUY,1000000.0,97.98
2021-08-03,Asset370,SELL,1500000.0,97.99
2021-08-03,Asset276,BUY,2000000.0,98.01
2021-08-03,Asset22,BUY,3500000.0,98.02
2021-08-03,Asset233,BUY,2000000.0,98.02
2021-08-03,Asset228,BUY,500000.0,98.04
2021-08-03,Asset298,BUY,3000000.0,98.01
2021-08-03,Asset398,BUY,3500000.0,97.99
2021-08-03,Asset405,SELL,1000000.0,98.01
2021-08-03,Asset94,BUY,1500000.0,98.02
2021-08-03,Asset298,BUY,1000000.0,98.02
2021-08-03,Asset29,SELL,3500000.0,97.99
2021-08-03,Asset460,SELL,2000000.0,97.98
2021-08-03,Asset289,BUY,500000.0,98.01
2021-08-03,Asset319,SELL,1000000.0,97.99
2021-08-03,Asset105,SELL,1000000.0,98.02
2021-08-03,Asset151,BUY,1000000.0,98.01
2021-08-03,Asset233,BUY,500000.0,98.03
2021-08-03,Asset431,BUY,2000000.0,98.01
2021-08-03,Asset417,SELL,,97.99
2021-08-03,Asset48,BUY,1000000.0,98.0
2021-08-03,Asset19,BUY,1000000.0,98.0
2021-08-03,Asset499,SELL,3000000.0,98.01
2021-08-03,Asset106,SELL,1500000.0,98.01
2021-08-03,Asset217,BUY,1500000.0,98.02
2021-08-03,Asset179,BUY,3000000.0,98.01
2021-08-03,Asset498,BUY,,98.04
2021-08-03,Asset235,SELL,1000000.0,97.99
2021-08-03,Asset497,BUY,1500000.0,97.99
2021-08-03,Asset260,BUY,1000000.0,98.01
2021-08-03,Asset418,BUY,3500000.0,98.0
2021-08-03,Asset155,SELL,2000000.0,98.01
2021-08-03,Asset410,SELL,1500000.0,98.0
2021-08-03,Asset412,SELL,1000000.0,97.99
2021-08-03,Asset7,BUY,1500000.0,98.01
2021-08-03,Asset66,SELL,3000000.0,97.98
2021-08-03,Asset152,,1500000.0,98.0
2021-08-03,Asset39,BUY,3500000.0,98.02
2021-08-03,Asset160,BUY,1000000.0,98.02
2021-08-03,Asset85,BUY,1000000.0,98.01
2021-08-03,Asset380,SELL,3000000.0,97.99
2021-08-03,Asset178,,,98.01
2021-08-03,Asset116,BUY,3500000.0,98.01
2021-08-03,Asset441,BUY,1500000.0,97.96
2021-08-03,Asset434,SELL,500000.0,98.01
2021-08-03,Asset180,BUY,1000000.0,98.01
2021-08-03,Asset106,SELL,500000.0,98.01
2021-08-03,,BUY,1500000.0,98.0
2021-08-03,Asset199,SELL,2000000.0,97.99
2021-08-03,Asset236,SELL,1000000.0,98.0
2021-08-03,Asset479,BUY,3500000.0,97.97
2021-08-03,Asset240,SELL,1000000.0,98.02
2021-08-03,Asset388,SELL,1500000.0,97.98
2021-08-03,Asset36,BUY,250000.0,98.05
,Asset291,BUY,1500000.0,98.01
2021-08-03,Asset251,BUY,1000000.0,98.02
2021-08-03,Asset388,SELL,1000000.0,97.97
2021-08-03,Asset381,SELL,1500000.0,97.99
2021-08-03,,,2000000.0,98.02
2021-08-03,Asset225,BUY,1500000.0,98.0
2021-08-04,Asset192,BUY,1500000.0,97.98
2021-08-04,Asset482,SELL,1000000.0,97.96
2021-08-04,Asset274,BUY,1000000.0,97.96
2021-08-04,Asset47,SELL,1000000.0,97.98
2021-08-04,Asset442,BUY,3000000.0,97.97
,Asset66,BUY,1000000.0,97.98
2021-08-04,Asset74,BUY,1500000.0,97.97
2021-08-04,Asset340,SELL,3500000.0,97.97
2021-08-04,Asset383,SELL,3000000.0,97.98
2021-08-04,Asset250,SELL,2000000.0,97.96
2021-08-04,Asset482,SELL,2000000.0,97.97
2021-08-04,Asset335,SELL,3000000.0,97.99
2021-08-04,Asset430,BUY,1500000.0,97.98
2021-08-04,Asset392,BUY,3000000.0,98.0
2021-08-04,Asset143,SELL,1500000.0,98.01
2021-08-04,Asset281,BUY,2000000.0,97.95
2021-08-04,Asset62,SELL,1000000.0,97.98
2021-08-04,Asset28,BUY,1000000.0,97.98
2021-08-04,Asset236,SELL,3000000.0,97.97
2021-08-04,Asset241,BUY,2000000.0,97.99
2021-08-04,Asset116,,2000000.0,97.97
2021-08-04,Asset262,BUY,1500000.0,97.99
2021-08-04,Asset324,BUY,3500000.0,97.99
2021-08-04,Asset372,BUY,1500000.0,98.01
2021-08-04,Asset295,BUY,2000000.0,97.99
2021-08-04,Asset452,BUY,1000000.0,97.99
2021-08-04,Asset144,,3000000.0,97.95
2021-08-04,Asset60,BUY,1000000.0,97.98
2021-08-04,Asset471,SELL,1000000.0,97.98
2021-08-04,,SELL,1000000.0,97.97
2021-08-04,Asset146,BUY,1500000.0,97.98
2021-08-04,Asset79,SELL,2000000.0,98.0
2021-08-04,Asset337,BUY,1500000.0,98.0
2021-08-04,Asset367,SELL,500000.0,97.99
2021-08-04,Asset316,BUY,2000000.0,97.97
2021-08-04,Asset407,BUY,1500000.0,98.0
2021-08-04,Asset384,BUY,2000000.0,97.99
,Asset330,BUY,3000000.0,98.0
2021-08-04,Asset163,SELL,2000000.0,97.99
2021-08-04,Asset373,SELL,1000000.0,97.97
2021-08-04,Asset72,SELL,250000.0,97.99
2021-08-04,Asset165,BUY,1500000.0,97.99
2021-08-04,Asset423,BUY,1500000.0,97.99
2021-08-04,Asset322,BUY,1500000.0,97.96
2021-08-04,Asset239,BUY,1000000.0,97.96
2021-08-04,Asset294,SELL,1500000.0,97.95
2021-08-04,Asset363,BUY,1500000.0,97.98
2021-08-04,Asset227,SELL,1500000.0,97.98
2021-08-04,Asset264,SELL,1500000.0,97.95
2021-08-04,Asset21,BUY,1500000.0,97.99
,Asset340,SELL,,97.99
2021-08-04,Asset100,BUY,2000000.0,98.01
2021-08-04,Asset9,BUY,3500000.0,97.95
2021-08-04,Asset86,BUY,3500000.0,97.99
2021-08-04,,SELL,1500000.0,97.98
2021-08-04,Asset281,BUY,1000000.0,97.96
2021-08-04,Asset335,SELL,500000.0,98.01
2021-08-04,Asset441,SELL,1000000.0,97.95
2021-08-04,Asset423,SELL,2000000.0,98.0
2021-08-04,Asset47,SELL,1500000.0,97.96
2021-08-04,Asset490,SELL,1000000.0,97.98
2021-08-04,Asset427,SELL,2000000.0,97.97
2021-08-04,Asset437,BUY,1500000.0,97.99
2021-08-04,Asset31,BUY,1500000.0,97.98
2021-08-04,Asset165,BUY,1500000.0,97.98
2021-08-04,Asset222,SELL,1500000.0,97.96
2021-08-04,Asset93,BUY,1500000.0,97.98
2021-08-04,,SELL,1500000.0,97.96
2021-08-04,Asset312,BUY,3000000.0,97.95
2021-08-04,Asset192,SELL,250000.0,97.99
2021-08-04,Asset452,SELL,3500000.0,97.96
2021-08-04,Asset417,BUY,1500000.0,97.99
2021-08-04,Asset170,SELL,1000000.0,97.96
2021-08-04,Asset354,BUY,1000000.0,98.0
2021-08-04,Asset22,BUY,1500000.0,98.0
2021-08-04,Asset164,BUY,1000000.0,98.01
2021-08-04,Asset16,SELL,,97.95
2021-08-04,Asset458,BUY,1500000.0,97.99
2021-08-04,Asset278,BUY,500000.0,97.99
2021-08-04,Asset226,SELL,1000000.0,97.99
2021-08-04,Asset369,SELL,1500000.0,98.03
2021-08-04,Asset234,SELL,500000.0,97.99
2021-08-04,Asset49,BUY,2000000.0,97.98
2021-08-04,Asset263,BUY,2000000.0,97.99
2021-08-04,Asset87,BUY,1000000.0,97.99
2021-08-04,Asset99,BUY,2000000.0,97.99
2021-08-04,Asset60,SELL,500000.0,97.96
2021-08-04,Asset358,BUY,,98.0
2021-08-04,Asset66,BUY,1000000.0,97.97
2021-08-04,Asset386,BUY,3500000.0,97.99
2021-08-04,Asset92,SELL,3000000.0,98.0
2021-08-04,Asset95,SELL,1000000.0,97.98
2021-08-04,Asset124,BUY,500000.0,98.01
2021-08-04,Asset395,SELL,1500000.0,97.96
2021-08-04,,BUY,1500000.0,97.98
2021-08-04,Asset360,BUY,3000000.0,97.97
2021-08-04,Asset318,SELL,1500000.0,97.97
2021-08-04,Asset343,SELL,250000.0,97.97
2021-08-04,Asset368,SELL,2000000.0,97.97
2021-08-04,Asset55,SELL,1500000.0,97.96
2021-08-04,Asset96,BUY,2000000.0,97.97
2021-08-04,Asset164,SELL,500000.0,97.99
2021-08-04,Asset141,SELL,3000000.0,97.97
2021-08-04,Asset491,SELL,,97.95
2021-08-04,Asset253,SELL,1000000.0,97.93
2021-08-04,Asset339,,1000000.0,97.99
2021-08-04,Asset201,BUY,,97.96
2021-08-04,Asset322,SELL,3000000.0,97.95
2021-08-04,Asset139,BUY,2000000.0,97.95
2021-08-04,Asset24,SELL,3000000.0,97.99
2021-08-04,Asset437,BUY,500000.0,98.01
2021-08-04,Asset481,BUY,2000000.0,97.96
2021-08-04,Asset361,SELL,500000.0,97.97
,Asset15,SELL,1500000.0,98.0
2021-08-04,Asset398,BUY,2000000.0,97.98
2021-08-04,Asset423,BUY,2000000.0,98.0
2021-08-04,Asset47,,1500000.0,97.96
2021-08-04,Asset70,BUY,3000000.0,97.98
2021-08-04,Asset484,SELL,1500000.0,97.99
2021-08-04,Asset408,SELL,3000000.0,97.98
2021-08-04,Asset182,SELL,250000.0,98.02
2021-08-04,,BUY,2000000.0,97.98
2021-08-04,Asset34,SELL,1500000.0,98.02
2021-08-04,Asset241,BUY,1000000.0,98.0
2021-08-04,Asset368,BUY,3000000.0,97.99
2021-08-04,Asset309,SELL,1500000.0,97.94
2021-08-04,Asset458,,1500000.0,97.98
2021-08-04,Asset426,BUY,1500000.0,97.99
2021-08-04,Asset167,BUY,2000000.0,97.98
2021-08-04,Asset35,BUY,3000000.0,97.99
2021-08-04,Asset460,BUY,1000000.0,97.98
2021-08-04,Asset138,SELL,1500000.0,97.96
2021-08-04,Asset34,BUY,1500000.0,98.0
2021-08-04,Asset200,SELL,3500000.0,97.97
2021-08-04,Asset260,BUY,1500000.0,98.0
2021-08-04,Asset347,SELL,1500000.0,97.93
2021-08-04,Asset430,BUY,2000000.0,97.99
2021-08-04,,SELL,3500000.0,97.98
2021-08-04,Asset408,SELL,3500000.0,97.98
2021-08-04,Asset283,BUY,500000.0,97.99
2021-08-04,Asset322,SELL,2000000.0,97.94
2021-08-04,Asset56,BUY,1500000.0,98.0
2021-08-04,Asset274,BUY,1500000.0,97.96
2021-08-04,Asset412,BUY,1500000.0,98.0
2021-08-04,Asset487,SELL,1000000.0,98.04
2021-08-04,Asset368,BUY,1000000.0,97.99
2021-08-04,Asset339,BUY,2000000.0,98.0
2021-08-04,Asset412,SELL,3500000.0,97.98
2021-08-04,Asset367,SELL,2000000.0,97.97
2021-08-04,Asset274,BUY,2000000.0,97.97
2021-08-04,Asset424,BUY,250000.0,98.02
2021-08-04,Asset355,BUY,2000000.0,97.94
2021-08-04,Asset14,SELL,1500000.0,97.98
2021-08-04,Asset292,,1500000.0,97.99
2021-08-04,Asset371,BUY,1500000.0,97.99
2021-08-04,Asset72,SELL,3000000.0,97.97
2021-08-04,Asset152,BUY,3000000.0,97.98
2021-08-04,Asset434,,1500000.0,97.99
2021-08-04,Asset173,BUY,,97.98
2021-08-04,Asset208,SELL,2000000.0,97.94
2021-08-04,Asset176,BUY,1000000.0,98.0
,Asset108,SELL,1500000.0,97.95
2021-08-04,Asset247,SELL,1500000.0,98.0
2021-08-04,Asset389,BUY,1000000.0,97.99
2021-08-05,Asset184,BUY,2000000.0,98.0
2021-08-05,Asset161,SELL,,97.99
2021-08-05,Asset337,BUY,1000000.0,97.99
2021-08-05,Asset134,SELL,3000000.0,97.95
2021-08-05,Asset320,BUY,1500000.0,97.98
2021-08-05,Asset431,SELL,1000000.0,97.95
2021-08-05,Asset444,BUY,1500000.0,97.97
2021-08-05,Asset177,BUY,3000000.0,98.0
2021-08-05,Asset42,,1500000.0,97.97
2021-08-05,Asset382,BUY,1000000.0,98.0
2021-08-05,Asset351,SELL,1500000.0,97.95
2021-08-05,Asset76,BUY,2000000.0,98.0
2021-08-05,Asset489,SELL,2000000.0,97.98
2021-08-05,Asset40,SELL,3500000.0,97.97
2021-08-05,Asset177,BUY,1000000.0,98.0
,Asset281,BUY,,97.94
2021-08-05,Asset265,SELL,1500000.0,97.93
2021-08-05,Asset136,SELL,1500000.0,97.98
2021-08-05,Asset378,BUY,3500000.0,97.96
2021-08-05,Asset137,BUY,1500000.0,97.95
2021-08-05,Asset491,BUY,1000000.0,97.97
2021-08-05,Asset419,BUY,1000000.0,98.0
2021-08-05,Asset140,BUY,1500000.0,97.98
2021-08-05,Asset481,BUY,1500000.0,97.95
2021-08-05,Asset355,SELL,3500000.0,97.93
2021-08-05,Asset390,SELL,,97.96
2021-08-05,Asset6,BUY,1000000.0,97.96
,Asset248,SELL,2000000.0,97.97
2021-08-05,Asset223,,2000000.0,97.97
2021-08-05,Asset278,BUY,3500000.0,97.97
2021-08-05,Asset97,BUY,500000.0,97.99
2021-08-05,Asset319,BUY,2000000.0,97.98
2021-08-05,Asset97,BUY,3500000.0,97.98
2021-08-05,Asset226,,1500000.0,97.99
2021-08-05,Asset98,SELL,3000000.0,97.97
2021-08-05,Asset164,SELL,1000000.0,97.97
2021-08-05,,BUY,2000000.0,97.95
2021-08-05,Asset77,SELL,1000000.0,97.99
2021-08-05,Asset434,BUY,2000000.0,97.99
2021-08-05,Asset277,SELL,1500000.0,97.9
2021-08-05,Asset123,SELL,,97.97
2021-08-05,Asset217,BUY,3500000.0,97.98
,Asset364,BUY,3000000.0,97.98
2021-08-05,,SELL,2000000.0,97.99
2021-08-05,Asset488,BUY,1500000.0,97.98
2021-08-05,Asset29,BUY,2000000.0,97.97
2021-08-05,Asset274,SELL,3500000.0,97.96
2021-08-05,Asset333,BUY,1500000.0,98.01
2021-08-05,Asset30,BUY,1500000.0,97.98
2021-08-05,Asset297,SELL,3000000.0,97.98
2021-08-05,Asset352,SELL,1500000.0,98.02
2021-08-05,Asset197,BUY,1000000.0,97.98
2021-08-05,Asset251,SELL,250000.0,97.97
2021-08-05,Asset35,SELL,3000000.0,97.97
2021-08-05,Asset367,BUY,1000000.0,97.96
2021-08-05,Asset346,BUY,500000.0,98.02
,Asset155,BUY,1500000.0,97.99
2021-08-05,Asset267,BUY,1000000.0,97.99
2021-08-05,Asset442,SELL,,97.96
2021-08-05,Asset119,BUY,1000000.0,97.98
2021-08-05,Asset60,BUY,3000000.0,97.94
2021-08-05,Asset166,SELL,1000000.0,97.95
2021-08-05,,SELL,1500000.0,97.97
2021-08-05,Asset322,BUY,3500000.0,97.94
2021-08-05,Asset6,BUY,1500000.0,97.99
2021-08-05,Asset439,BUY,1500000.0,97.99
2021-08-05,Asset68,SELL,2000000.0,98.0
,Asset60,SELL,1500000.0,97.95
2021-08-05,Asset180,SELL,2000000.0,97.98
2021-08-05,Asset0,BUY,2000000.0,97.98
2021-08-05,Asset357,BUY,1500000.0,97.98
2021-08-05,Asset130,SELL,3500000.0,97.96
2021-08-05,Asset161,SELL,2000000.0,97.99
2021-08-05,Asset219,BUY,1500000.0,97.99
2021-08-05,Asset62,BUY,,97.97
2021-08-05,Asset166,BUY,250000.0,97.98
2021-08-05,Asset480,BUY,2000000.0,97.99
2021-08-05,Asset121,BUY,2000000.0,97.96
2021-08-05,Asset202,SELL,1000000.0,97.97
2021-08-05,Asset172,BUY,1000000.0,97.98
2021-08-05,Asset14,BUY,250000.0,97.99
2021-08-05,Asset422,BUY,2000000.0,97.98
2021-08-05,Asset319,SELL,2000000.0,97.99
2021-08-05,Asset137,BUY,500000.0,97.97
2021-08-05,Asset123,SELL,1000000.0,97.98
2021-08-05,Asset118,BUY,1500000.0,97.95
2021-08-05,Asset331,BUY,1000000.0,97.97
2021-08-05,Asset396,SELL,500000.0,97.94
2021-08-05,Asset307,SELL,3500000.0,97.95
2021-08-05,Asset11,SELL,1000000.0,97.96
2021-08-05,Asset486,SELL,1500000.0,97.99
2021-08-05,Asset16,BUY,3000000.0,97.99
2021-08-05,Asset223,SELL,2000000.0,97.98
2021-08-05,Asset465,SELL,1500000.0,97.99
2021-08-05,Asset314,BUY,1500000.0,97.97
2021-08-05,Asset128,BUY,2000000.0,97.96
,Asset363,BUY,,97.99
2021-08-05,Asset291,BUY,3000000.0,97.98
2021-08-05,Asset78,SELL,2000000.0,97.96
2021-08-05,Asset147,,250000.0,97.97
2021-08-05,Asset474,BUY,250000.0,97.98
2021-08-05,Asset466,SELL,,97.92
2021-08-05,Asset420,SELL,2000000.0,97.97
2021-08-05,Asset153,SELL,1500000.0,97.98
2021-08-05,Asset497,SELL,1500000.0,97.97
2021-08-05,Asset466,BUY,2000000.0,97.94
2021-08-05,Asset427,SELL,1000000.0,97.98
2021-08-05,Asset433,BUY,3000000.0,97.98
2021-08-05,Asset60,BUY,2000000.0,97.96
,Asset136,BUY,1000000.0,97.97
2021-08-05,Asset463,SELL,2000000.0,97.95
2021-08-05,Asset123,SELL,1000000.0,97.97
2021-08-05,Asset486,BUY,3000000.0,97.97
2021-08-05,Asset41,BUY,1500000.0,97.99
2021-08-05,Asset275,BUY,500000.0,97.97
2021-08-05,Asset179,BUY,2000000.0,97.98
2021-08-05,Asset348,BUY,500000.0,97.97
2021-08-05,Asset347,BUY,1500000.0,97.96
2021-08-05,Asset50,SELL,,97.99
